Accession,replacedaccession,IDs,Country,Host,Year
KR559481.1_Guatemala,KR559481.1_Guatemala,KR559481.1,Guatemala,Unknown,2014
KR559482.1_Virgin_Islands,KR559482.1_Virgin_Islands,KR559482.1,Virgin_Islands,Unknown,2014
KR559483.1_Puerto_Rico,KR559483.1_Puerto_Rico,KR559483.1,Puerto_Rico,Unknown,2014
KR559484.1_El_Salvador,KR559484.1_El_Salvador,KR559484.1,El_Salvador,Unknown,2014
KR559485.1_Virgin_Islands,KR559485.1_Virgin_Islands,KR559485.1,Virgin_Islands,Unknown,2014
KR559486.1_Panama,KR559486.1_Panama,KR559486.1,Panama,Unknown,2014
KR559487.1_Honduras,KR559487.1_Honduras,KR559487.1,Honduras,Unknown,2014
KR559488.1_Honduras,KR559488.1_Honduras,KR559488.1,Honduras,Unknown,2014
KR559489.1_Jamaica,KR559489.1_Jamaica,KR559489.1,Jamaica,Unknown,2014
KR559490.1_Guyana,KR559490.1_Guyana,KR559490.1,Guyana,Unknown,2014
KR559491.1_Colombia,KR559491.1_Colombia,KR559491.1,Colombia,Unknown,2014
KR559492.1_Saint_Lucia,KR559492.1_Saint_Lucia,KR559492.1,Saint_Lucia,Unknown,2014
KR559493.1_American_Samoa,KR559493.1_American_Samoa,KR559493.1,American_Samoa,Unknown,2014
KR559494.1_Virgin_Islands,KR559494.1_Virgin_Islands,KR559494.1,Virgin_Islands,Unknown,2014
KR559495.1_Puerto_Rico,KR559495.1_Puerto_Rico,KR559495.1,Puerto_Rico,Unknown,2014
KR559496.1_Guyana,KR559496.1_Guyana,KR559496.1,Guyana,Unknown,2014
KR559497.1_St_Barts,KR559497.1_St_Barts,KR559497.1,St_Barts,Unknown,2014
KR559498.1_Dominican_Republic,KR559498.1_Dominican_Republic,KR559498.1,Dominican_Republic,Unknown,2014
KT192707.1_Nicaragua,KT192707.1_Nicaragua,KT192707.1,Nicaragua,Homo_sapiens,2014
KT308159.1_Philippines,KT308159.1_Philippines,KT308159.1,Philippines,Homo_sapiens,2012
KT308160.1_Philippines,KT308160.1_Philippines,KT308160.1,Philippines,Homo_sapiens,2012
KT308161.1_Philippines,KT308161.1_Philippines,KT308161.1,Philippines,Homo_sapiens,2012
KT308162.1_Philippines,KT308162.1_Philippines,KT308162.1,Philippines,Homo_sapiens,2012
KT308163.1_Philippines,KT308163.1_Philippines,KT308163.1,Philippines,Homo_sapiens,2012
KT327163.1_Mexico,KT327163.1_Mexico,KT327163.1,Mexico,Homo_sapiens,2014
KT327164.1_Mexico,KT327164.1_Mexico,KT327164.1,Mexico,Homo_sapiens,2014
KT327165.1_Mexico,KT327165.1_Mexico,KT327165.1,Mexico,Homo_sapiens,2014
KT327166.1_Mexico,KT327166.1_Mexico,KT327166.1,Mexico,Homo_sapiens,2014
KT327167.1_Mexico,KT327167.1_Mexico,KT327167.1,Mexico,Homo_sapiens,2014
KU355832.1_Brazil,KU355832.1_Brazil,KU355832.1,Brazil,Homo_sapiens,2015
KX097982.1_Indonesia,KX097982.1_Indonesia,KX097982.1,Indonesia,Homo_sapiens,2015
KX097988.1_Indonesia,KX097988.1_Indonesia,KX097988.1,Indonesia,Homo_sapiens,2015
KX168429.1_Malaysia,KX168429.1_Malaysia,KX168429.1,Malaysia,Homo_sapiens,2009
KX262987.1_Thailand,KX262987.1_Thailand,KX262987.1,Thailand,Homo_sapiens,1996
KX262988.1_Thailand,KX262988.1_Thailand,KX262988.1,Thailand,Homo_sapiens,1988
KX262991.1_Saint_Martin,KX262991.1_Saint_Martin,KX262991.1,Saint_Martin,Homo_sapiens,2003
KX262992.1_Guadeloupe,KX262992.1_Guadeloupe,KX262992.1,Guadeloupe,Homo_sapiens,2014
KX262994.1_French_Guiana,KX262994.1_French_Guiana,KX262994.1,French_Guiana,Homo_sapiens,2014
KX496989.1_Colombia,KX496989.1_Colombia,KX496989.1,Colombia,Homo_sapiens,2016
KX702401.1_Haiti,KX702401.1_Haiti,KX702401.1,Haiti,Homo_sapiens,2014
KX702402.1_Haiti,KX702402.1_Haiti,KX702402.1,Haiti,Homo_sapiens,2014
KY272961.1_Dominican_Republic,KY272961.1_Dominican_Republic,KY272961.1,Dominican_Republic,Homo_sapiens,2014
KY272962.1_Dominican_Republic,KY272962.1_Dominican_Republic,KY272962.1,Dominican_Republic,Homo_sapiens,2014
KY272963.1_Dominican_Republic,KY272963.1_Dominican_Republic,KY272963.1,Dominican_Republic,Homo_sapiens,2014
KY272964.1_Dominican_Republic,KY272964.1_Dominican_Republic,KY272964.1,Dominican_Republic,Homo_sapiens,2014
KY272965.1_Dominican_Republic,KY272965.1_Dominican_Republic,KY272965.1,Dominican_Republic,Homo_sapiens,2014
