Accession,replacedaccession,IDs,Country,Host,Year
KY703943.1_Nicaragua,KY703943.1_Nicaragua,KY703943.1,Nicaragua,Homo_sapiens,2015
KY703944.1_Nicaragua,KY703944.1_Nicaragua,KY703944.1,Nicaragua,Homo_sapiens,2015
KY703945.1_Nicaragua,KY703945.1_Nicaragua,KY703945.1,Nicaragua,Homo_sapiens,2015
KY703946.1_Nicaragua,KY703946.1_Nicaragua,KY703946.1,Nicaragua,Homo_sapiens,2015
KY703947.1_Nicaragua,KY703947.1_Nicaragua,KY703947.1,Nicaragua,Homo_sapiens,2014
KY703948.1_Nicaragua,KY703948.1_Nicaragua,KY703948.1,Nicaragua,Homo_sapiens,2015
KY703949.1_Nicaragua,KY703949.1_Nicaragua,KY703949.1,Nicaragua,Homo_sapiens,2015
KY703950.1_Nicaragua,KY703950.1_Nicaragua,KY703950.1,Nicaragua,Homo_sapiens,2014
KY703951.1_Nicaragua,KY703951.1_Nicaragua,KY703951.1,Nicaragua,Homo_sapiens,2015
KY703952.1_Nicaragua,KY703952.1_Nicaragua,KY703952.1,Nicaragua,Homo_sapiens,2015
KY703954.1_Nicaragua,KY703954.1_Nicaragua,KY703954.1,Nicaragua,Homo_sapiens,2014
KY703955.1_Nicaragua,KY703955.1_Nicaragua,KY703955.1,Nicaragua,Homo_sapiens,2015
KY703956.1_Nicaragua,KY703956.1_Nicaragua,KY703956.1,Nicaragua,Homo_sapiens,2014
KY703957.1_Nicaragua,KY703957.1_Nicaragua,KY703957.1,Nicaragua,Homo_sapiens,2015
KY703958.1_Nicaragua,KY703958.1_Nicaragua,KY703958.1,Nicaragua,Homo_sapiens,2015
KY703959.1_Nicaragua,KY703959.1_Nicaragua,KY703959.1,Nicaragua,Homo_sapiens,2014
KY703960.1_Nicaragua,KY703960.1_Nicaragua,KY703960.1,Nicaragua,Homo_sapiens,2015
KY703961.1_Nicaragua,KY703961.1_Nicaragua,KY703961.1,Nicaragua,Homo_sapiens,2015
KY703962.1_Nicaragua,KY703962.1_Nicaragua,KY703962.1,Nicaragua,Homo_sapiens,2015
KY703963.1_Nicaragua,KY703963.1_Nicaragua,KY703963.1,Nicaragua,Homo_sapiens,2015
KY703965.1_Nicaragua,KY703965.1_Nicaragua,KY703965.1,Nicaragua,Homo_sapiens,2015
KY703966.1_Nicaragua,KY703966.1_Nicaragua,KY703966.1,Nicaragua,Homo_sapiens,2015
KY703967.1_Nicaragua,KY703967.1_Nicaragua,KY703967.1,Nicaragua,Homo_sapiens,2015
KY703968.1_Nicaragua,KY703968.1_Nicaragua,KY703968.1,Nicaragua,Homo_sapiens,2015
KY703969.1_Nicaragua,KY703969.1_Nicaragua,KY703969.1,Nicaragua,Homo_sapiens,2014
KY703970.1_Nicaragua,KY703970.1_Nicaragua,KY703970.1,Nicaragua,Homo_sapiens,2015
KY703971.1_Nicaragua,KY703971.1_Nicaragua,KY703971.1,Nicaragua,Homo_sapiens,2015
KY703972.1_Nicaragua,KY703972.1_Nicaragua,KY703972.1,Nicaragua,Homo_sapiens,2014
KY703973.1_Nicaragua,KY703973.1_Nicaragua,KY703973.1,Nicaragua,Homo_sapiens,2015
KY703974.1_Nicaragua,KY703974.1_Nicaragua,KY703974.1,Nicaragua,Homo_sapiens,2015
KY703975.1_Nicaragua,KY703975.1_Nicaragua,KY703975.1,Nicaragua,Homo_sapiens,2015
KY703976.1_Nicaragua,KY703976.1_Nicaragua,KY703976.1,Nicaragua,Homo_sapiens,2015
KY703977.1_Nicaragua,KY703977.1_Nicaragua,KY703977.1,Nicaragua,Homo_sapiens,2015
KY703978.1_Nicaragua,KY703978.1_Nicaragua,KY703978.1,Nicaragua,Homo_sapiens,2015
KY703979.1_Nicaragua,KY703979.1_Nicaragua,KY703979.1,Nicaragua,Homo_sapiens,2015
KY703980.1_Nicaragua,KY703980.1_Nicaragua,KY703980.1,Nicaragua,Homo_sapiens,2015
KY703982.1_Nicaragua,KY703982.1_Nicaragua,KY703982.1,Nicaragua,Homo_sapiens,2015
KY703983.1_Nicaragua,KY703983.1_Nicaragua,KY703983.1,Nicaragua,Homo_sapiens,2014
KY703984.1_Nicaragua,KY703984.1_Nicaragua,KY703984.1,Nicaragua,Homo_sapiens,2014
KY703985.1_Nicaragua,KY703985.1_Nicaragua,KY703985.1,Nicaragua,Homo_sapiens,2015
KY703986.1_Nicaragua,KY703986.1_Nicaragua,KY703986.1,Nicaragua,Homo_sapiens,2015
KY703987.1_Nicaragua,KY703987.1_Nicaragua,KY703987.1,Nicaragua,Homo_sapiens,2015
KY703988.1_Nicaragua,KY703988.1_Nicaragua,KY703988.1,Nicaragua,Homo_sapiens,2014
KY703989.1_Nicaragua,KY703989.1_Nicaragua,KY703989.1,Nicaragua,Homo_sapiens,2014
KY703990.1_Nicaragua,KY703990.1_Nicaragua,KY703990.1,Nicaragua,Homo_sapiens,2015
KY703991.1_Nicaragua,KY703991.1_Nicaragua,KY703991.1,Nicaragua,Homo_sapiens,2015
KY703992.1_Nicaragua,KY703992.1_Nicaragua,KY703992.1,Nicaragua,Homo_sapiens,2015
KY703993.1_Nicaragua,KY703993.1_Nicaragua,KY703993.1,Nicaragua,Homo_sapiens,2014
KY703994.1_Nicaragua,KY703994.1_Nicaragua,KY703994.1,Nicaragua,Homo_sapiens,2015
KY703995.1_Nicaragua,KY703995.1_Nicaragua,KY703995.1,Nicaragua,Homo_sapiens,2015
KY703996.1_Nicaragua,KY703996.1_Nicaragua,KY703996.1,Nicaragua,Homo_sapiens,2015
KY703997.1_Nicaragua,KY703997.1_Nicaragua,KY703997.1,Nicaragua,Homo_sapiens,2015
KY703998.1_Nicaragua,KY703998.1_Nicaragua,KY703998.1,Nicaragua,Homo_sapiens,2015
KY703999.1_Nicaragua,KY703999.1_Nicaragua,KY703999.1,Nicaragua,Homo_sapiens,2015
KY704000.1_Nicaragua,KY704000.1_Nicaragua,KY704000.1,Nicaragua,Homo_sapiens,2015
KY704001.1_Nicaragua,KY704001.1_Nicaragua,KY704001.1,Nicaragua,Homo_sapiens,2015
KY704002.1_Nicaragua,KY704002.1_Nicaragua,KY704002.1,Nicaragua,Homo_sapiens,2015
KY883764.1_Singapore,KY883764.1_Singapore,KY883764.1,Singapore,Homo_sapiens,2013
MF001505.1_USA,MF001505.1_USA,MF001505.1,Puerto_Rico,Homo_sapiens,2015
MF001506.1_USA,MF001506.1_USA,MF001506.1,Puerto_Rico,Homo_sapiens,2015
MF001507.1_USA,MF001507.1_USA,MF001507.1,Puerto_Rico,Homo_sapiens,2015
MF001508.1_USA,MF001508.1_USA,MF001508.1,Puerto_Rico,Homo_sapiens,2015
MF001509.1_USA,MF001509.1_USA,MF001509.1,Puerto_Rico,Homo_sapiens,2015
MF001510.1_USA,MF001510.1_USA,MF001510.1,Puerto_Rico,Homo_sapiens,2015
MF001511.1_USA,MF001511.1_USA,MF001511.1,Puerto_Rico,Homo_sapiens,2015
MF001512.1_USA,MF001512.1_USA,MF001512.1,Puerto_Rico,Homo_sapiens,2015
MF001513.1_USA,MF001513.1_USA,MF001513.1,Puerto_Rico,Homo_sapiens,2015
MF001514.1_USA,MF001514.1_USA,MF001514.1,Puerto_Rico,Homo_sapiens,2015
MF001515.1_USA,MF001515.1_USA,MF001515.1,Puerto_Rico,Homo_sapiens,2015
MF001516.1_USA,MF001516.1_USA,MF001516.1,Puerto_Rico,Homo_sapiens,2015
MF001517.1_USA,MF001517.1_USA,MF001517.1,Puerto_Rico,Homo_sapiens,2015
MF001518.1_USA,MF001518.1_USA,MF001518.1,Puerto_Rico,Homo_sapiens,2015
MF001519.1_USA,MF001519.1_USA,MF001519.1,Puerto_Rico,Homo_sapiens,2015
MF773559.1_Samoa,MF773559.1_Samoa,MF773559.1,Samoa,Homo_sapiens,2014
MF773560.1_Caribbean,MF773560.1_Caribbean,MF773560.1,Caribbean,Homo_sapiens,2014
MF773561.1_Indonesia,MF773561.1_Indonesia,MF773561.1,Indonesia,Homo_sapiens,2011
MF773562.1_Kiribati,MF773562.1_Kiribati,MF773562.1,Kiribati,Homo_sapiens,2015
MF773563.1_Philippines,MF773563.1_Philippines,MF773563.1,Philippines,Homo_sapiens,2014
MF773564.1_Philippines,MF773564.1_Philippines,MF773564.1,Philippines,Homo_sapiens,2016
MF773565.1_Timor-Leste,MF773565.1_Timor-Leste,MF773565.1,Timor-Leste,Homo_sapiens,2010
MG208125.1_Saint_Martin,MG208125.1_Saint_Martin,MG208125.1,Saint_Martin,Homo_sapiens,2013
MG664851.1_China,MG664851.1_China,MG664851.1,China,Homo_sapiens,2012
MG921596.1_Mexico,MG921596.1_Mexico,MG921596.1,Mexico,Homo_sapiens,2015
MG967666.1_Haiti,MG967666.1_Haiti,MG967666.1,Haiti,Homo_sapiens,2014
